node_id,betweenness,pagerank,network_community_id,semantic_cluster_id,top_keywords,neighbor_consistency
Valentin Drusher,0.0,0.0008914894139006267,12,1,"necromunda, helmawr, kal, gerontius, haera",0.8866397142410278
Germaine Macks,0.0,0.0008914894139006267,12,1,"necromunda, helmawr, kal, gerontius, haera",0.8866397142410278
Valentus Dolor,2.9433519733955205e-05,8.180733836813418e-05,5,7,"sicarius, titus, calgar, macragge, ventanus",0.5845757722854614
Valerian,0.0,5.7403167991312944e-05,16,2,"templars, sigismund, sabbat, saint, creed",0.5401843786239624
Heracleon,3.593286016943062e-08,0.00011077650633489896,16,2,"templars, sigismund, sabbat, saint, creed",0.5980503559112549
Laxlan Skreto,3.593286016943062e-08,7.739493921158136e-05,16,5,"honfler, custodes, denial, magron, loyalists",0.559019148349762
Fyger Deflaim,0.0,9.384936085554758e-05,16,9,"khan, huron, sabbat, telomane, sek",0.4659399390220642
Lachrymosa,0.00015816066353007815,0.00017366395129906996,16,5,"honfler, custodes, denial, magron, loyalists",0.5558154582977295
Convolute,0.00015824654920176996,0.00011454093597325341,16,5,"honfler, custodes, denial, magron, loyalists",0.5940901637077332
Kalluin,7.946485484135933e-06,9.808651432928719e-05,16,0,"heht, phoenix, yriel, craftworld, iyanden",0.5001965761184692
Valestis,0.0,7.367261490919376e-05,19,3,"rafen, arkio, baal, sanguinius, mephiston",0.7375046610832214
Apollus Pertinax,0.0,0.00010499422206348824,19,10,"style, khan, sarro, salamanders, kor",
Valgard Twice-Slain,0.0,0.002071691072563038,21,12,"russ, ragnar, fenris, bjorn, grimnar",0.8438172340393066
Valgarn,0.0,5.7403167991312944e-05,21,12,"russ, ragnar, fenris, bjorn, grimnar",0.5914134383201599
Haldor Twinfang,0.00012972949677424373,9.780133195608359e-05,21,12,"russ, ragnar, fenris, bjorn, grimnar",0.5807247161865234
Varak Stonejaw,0.0,7.367261490919376e-05,21,12,"russ, ragnar, fenris, bjorn, grimnar",0.4948854446411133
Valian Carsomir,0.0,9.987660703150726e-05,8,15,"cain, cadian, armageddon, drinkers, yarrick",0.6652014255523682
Zarha Mancion,0.0002665739119769493,0.00021896736204847855,8,1,"necromunda, helmawr, kal, gerontius, haera",0.4538090229034424
Lonn,0.0,9.987660703150726e-05,8,15,"cain, cadian, armageddon, drinkers, yarrick",0.6473062038421631
Valicar Hyne,1.795100889386023e-05,9.987660703150726e-05,17,8,"honsou, meduson, clan, warsmith, cain",0.6256136298179626
Ceraxia,7.971695176084672e-07,9.987660703150726e-05,17,10,"style, khan, sarro, salamanders, kor",0.6045942306518555
Cassian (Horus Heresy),4.02448033897623e-06,0.0009920618034616976,7,7,"sicarius, titus, calgar, macragge, ventanus",0.8714715242385864
Vallera Dresis,0.0,8.377114215774922e-05,41,1,"necromunda, helmawr, kal, gerontius, haera",0.6345364451408386
Decius Krassus,9.582096045181499e-08,9.302131302809752e-05,41,15,"cain, cadian, armageddon, drinkers, yarrick",0.6192823052406311
Cadmur,0.0,0.0001193892871945338,41,10,"style, khan, sarro, salamanders, kor",
Valorem Gadriel,0.0,0.00010636301193170017,0,7,"sicarius, titus, calgar, macragge, ventanus",0.6524247527122498
Valossian Sythrac,0.00026753212158146745,0.00012257745970940435,24,1,"necromunda, helmawr, kal, gerontius, haera",0.6031646728515625
Vhigis,0.0,9.220088676261887e-05,24,1,"necromunda, helmawr, kal, gerontius, haera",0.5917053818702698
Vandius,9.03701696036216e-06,0.00012222497837519966,0,7,"sicarius, titus, calgar, macragge, ventanus",0.6144301891326904
Kaarja Salombar,0.001374493854335758,0.00017914925319154634,0,7,"sicarius, titus, calgar, macragge, ventanus",0.4440053403377533
Scipio Vorolanus,0.000988736700946651,0.0001611177634530523,0,7,"sicarius, titus, calgar, macragge, ventanus",0.5418375134468079
Var Jahan,0.0,5.7403167991312944e-05,4,11,"luther, astelan, lion, caliban, jonson",0.5371060371398926
Malithos Kuln,0.0,0.00014868222352465232,4,9,"khan, huron, sabbat, telomane, sek",0.7081802487373352
Cel Herec,0.0,0.00014868222352465232,4,9,"khan, huron, sabbat, telomane, sek",0.7071818113327026
Vardas Ison,0.0001374974995387975,0.0003297024156487855,17,6,"fulgrim, perturabo, dorn, m30, curze",0.559349000453949
Fyodor Stromgren,7.869992397976659e-06,0.00019712535686799464,17,12,"russ, ragnar, fenris, bjorn, grimnar",0.5334963798522949
Vardus Praal,8.632746346338147e-05,0.00015421241130743397,17,5,"honfler, custodes, denial, magron, loyalists",0.41825568675994873
Vared,0.0003972235101015598,0.00022660596659261124,20,7,"sicarius, titus, calgar, macragge, ventanus",0.48901090025901794
Castor Alcade,0.0,0.0002491113406160623,20,10,"style, khan, sarro, salamanders, kor",
Variel,0.0,5.7403167991312944e-05,24,9,"khan, huron, sabbat, telomane, sek",0.4722702205181122
Septimus,0.0,0.00015511787805063025,24,10,"style, khan, sarro, salamanders, kor",0.5574740171432495
Octavia,7.32109176559123e-05,0.00018649773598193597,24,14,"sisters, sororitas, aleya, adepta, saint",0.5114657282829285
Lucoryphus,2.051204453109398e-05,6.553789145025336e-05,24,9,"khan, huron, sabbat, telomane, sek",0.5627799034118652
Varon (Blood Angels),0.0,8.138634424968858e-05,2,3,"rafen, arkio, baal, sanguinius, mephiston",0.6526720523834229
Varran Gor,0.00027270645344586544,0.00014235004607170157,38,1,"necromunda, helmawr, kal, gerontius, haera",0.5894395112991333
Varrek,0.0,5.7403167991312944e-05,0,8,"honsou, meduson, clan, warsmith, cain",0.5957180857658386
Varrigan,1.9164192090362999e-07,0.00011980677911277494,29,4,"eisenhorn, ravenor, quixos, inquisitors, pontius",0.7500873804092407
Helynna Valeria,0.0,0.00015192352166016522,29,4,"eisenhorn, ravenor, quixos, inquisitors, pontius",
Cataclis,0.0,0.00011560481204242804,29,4,"eisenhorn, ravenor, quixos, inquisitors, pontius",0.7476420402526855
Derval Bossch,0.0,0.00011560481204242804,29,4,"eisenhorn, ravenor, quixos, inquisitors, pontius",0.7456670999526978
Rapal Staccata,0.0,7.778710840930594e-05,29,4,"eisenhorn, ravenor, quixos, inquisitors, pontius",0.7548853754997253
Rotigus,0.0011148103617390384,0.0005794828610297843,20,0,"heht, phoenix, yriel, craftworld, iyanden",0.5087507963180542
Varrus Hekatos,0.0,9.987660703150726e-05,17,9,"khan, huron, sabbat, telomane, sek",0.5474068522453308
Praxis Empyrealus,0.0,9.987660703150726e-05,17,9,"khan, huron, sabbat, telomane, sek",0.5682830810546875
Zuthis Abarim,0.0,0.0002287781589611696,41,7,"sicarius, titus, calgar, macragge, ventanus",0.8142444491386414
Varzival Czervantes,0.0,5.7403167991312944e-05,6,11,"luther, astelan, lion, caliban, jonson",0.7249006032943726
Lycestra,0.0,0.00010624351574881993,25,14,"sisters, sororitas, aleya, adepta, saint",0.5511465072631836
Vassago,1.90098931651812e-05,0.00022031097720026882,4,11,"luther, astelan, lion, caliban, jonson",0.4470174312591553
Vassukella,0.0,0.00017337202192966504,4,10,"style, khan, sarro, salamanders, kor",0.2744063138961792
